{'loss': 0.6103, 'learning_rate': 1.997114596850772e-05, 'epoch': 0.05}
{'loss': 0.9098, 'learning_rate': 1.9971108008486438e-05, 'epoch': 0.05}
{'loss': 1.0014, 'learning_rate': 1.9971070023547815e-05, 'epoch': 0.05}
{'loss': 0.7415, 'learning_rate': 1.997103201369195e-05, 'epoch': 0.05}
{'loss': 1.3522, 'learning_rate': 1.9970993978918928e-05, 'epoch': 0.05}
{'loss': 1.3516, 'learning_rate': 1.997095591922885e-05, 'epoch': 0.05}
{'loss': 1.0608, 'learning_rate': 1.9970917834621813e-05, 'epoch': 0.05}
{'loss': 0.7574, 'learning_rate': 1.9970879725097907e-05, 'epoch': 0.05}
{'loss': 1.199, 'learning_rate': 1.9970841590657234e-05, 'epoch': 0.05}
{'loss': 0.9569, 'learning_rate': 1.997080343129988e-05, 'epoch': 0.05}
{'loss': 0.8802, 'learning_rate': 1.997076524702595e-05, 'epoch': 0.05}
{'loss': 0.806, 'learning_rate': 1.9970727037835534e-05, 'epoch': 0.05}
{'loss': 0.8753, 'learning_rate': 1.9970688803728726e-05, 'epoch': 0.05}
{'loss': 1.3056, 'learning_rate': 1.9970650544705626e-05, 'epoch': 0.05}
{'loss': 1.3428, 'learning_rate': 1.9970612260766328e-05, 'epoch': 0.05}
{'loss': 0.9991, 'learning_rate': 1.9970573951910928e-05, 'epoch': 0.05}
{'loss': 1.1991, 'learning_rate': 1.9970535618139522e-05, 'epoch': 0.05}
{'loss': 1.2118, 'learning_rate': 1.9970497259452202e-05, 'epoch': 0.05}
{'loss': 0.7442, 'learning_rate': 1.9970458875849065e-05, 'epoch': 0.05}
{'loss': 1.0481, 'learning_rate': 1.997042046733021e-05, 'epoch': 0.05}
{'loss': 1.2477, 'learning_rate': 1.9970382033895736e-05, 'epoch': 0.05}
{'loss': 0.9074, 'learning_rate': 1.997034357554573e-05, 'epoch': 0.05}
{'loss': 0.7372, 'learning_rate': 1.9970305092280297e-05, 'epoch': 0.05}
{'loss': 0.9423, 'learning_rate': 1.9970266584099525e-05, 'epoch': 0.05}
{'loss': 1.1205, 'learning_rate': 1.9970228051003514e-05, 'epoch': 0.05}
{'loss': 0.5306, 'learning_rate': 1.9970189492992363e-05, 'epoch': 0.05}
